filename,column
universal_pathway_law_city_table_2026-04-20.csv,n_communities_full_window
universal_pathway_law_city_table_2026-04-20.csv,ever_bottom_share_full_window
universal_pathway_law_city_table_2026-04-20.csv,overall_conversion
universal_pathway_law_city_table_2026-04-20.csv,persistent_bottom_3plus_share_full_window
universal_pathway_law_city_table_2026-04-20.csv,share_first_2021plus
universal_pathway_law_city_table_2026-04-20.csv,immediate_escape_share
universal_pathway_law_city_table_2026-04-20.csv,deepening_given_repeat
universal_pathway_law_city_table_2026-04-20.csv,region_gap_to_null_mean
universal_pathway_law_city_table_2026-04-20.csv,business_gap_to_null_mean
universal_pathway_law_city_table_2026-04-20.csv,identity_persistent_share
universal_pathway_law_city_table_2026-04-20.csv,process_hardening_escape_deepen
universal_pathway_law_city_table_2026-04-20.csv,process_persistent_escape_deepen
universal_pathway_law_city_table_2026-04-20.csv,timing_adjusted_hardening
universal_pathway_law_city_table_2026-04-20.csv,timing_adjusted_persistent_share
universal_pathway_law_city_table_2026-04-20.csv,concentration_multiplier
universal_pathway_law_city_table_2026-04-20.csv,concentration_augmented_structure
universal_pathway_law_city_table_2026-04-20.csv,process_residual
universal_pathway_law_city_table_2026-04-20.csv,timing_adjusted_residual
