cutoff_q,城市,train_years,holdout_years,n_units,p_holdout_repeat_2021_2022,p_holdout_mean_2021_2022,p_holdout_ever_2021_2022,X_train_2018_2020,lambda_train_2018_2020,non_escape_train_2018_2020,lambda_denominator,delta_active_train_2018_2020,delta_all3_train_2018_2020,delta_denominator,train_bottom_share_mean,train_bottom_share_2020,p11_train_2018_2020,p11_denominator,pred_pathway_active,pred_pathway_all3,pred_exposure_only,pred_independence,pred_markov_pair,pred_last_state_markov
0.1,天津,2018-2020,2021-2022,2635,0.08311195445920304,0.10018975332068311,0.11726755218216318,0.12144212523719165,0.174496644295302,0.825503355704698,298,0.9453125,0.84375,256,0.10018975332068311,0.10018975332068311,0.875,528,0.09476841180291125,0.08458668160921004,0.12144212523719165,0.010037986670459333,0.08766603415559772,0.08766603415559772
0.1,太原,2018-2020,2021-2022,92,0.08695652173913043,0.10869565217391304,0.13043478260869565,0.20652173913043478,0.5294117647058824,0.47058823529411764,17,1.0,0.375,8,0.10869565217391304,0.10869565217391304,0.55,20,0.09718670076726342,0.03644501278772378,0.20652173913043478,0.011814744801512287,0.059782608695652176,0.059782608695652176
0.1,常州,2018-2020,2021-2022,69,0.057971014492753624,0.10144927536231885,0.14492753623188406,0.18840579710144928,0.5,0.5,10,0.6666666666666666,0.3333333333333333,6,0.10144927536231885,0.10144927536231885,0.5,14,0.06280193236714976,0.03140096618357488,0.18840579710144928,0.010291955471539594,0.050724637681159424,0.050724637681159424
0.1,廊坊,2018-2020,2021-2022,226,0.06637168141592921,0.10176991150442478,0.13716814159292035,0.15486725663716813,0.3333333333333333,0.6666666666666667,30,0.75,0.4166666666666667,24,0.10176991150442478,0.10176991150442478,0.6521739130434783,46,0.07743362831858407,0.04301868239921337,0.15486725663716813,0.010357114887618452,0.06637168141592921,0.06637168141592921
0.1,张家口,2018-2020,2021-2022,27,0.037037037037037035,0.1111111111111111,0.18518518518518517,0.25925925925925924,0.6666666666666666,0.33333333333333337,6,1.0,0.0,2,0.1111111111111111,0.1111111111111111,0.3333333333333333,6,0.08641975308641976,0.0,0.25925925925925924,0.012345679012345678,0.037037037037037035,0.037037037037037035
0.1,徐州,2018-2020,2021-2022,317,0.0473186119873817,0.10094637223974763,0.15457413249211358,0.1892744479495268,0.54,0.45999999999999996,50,0.88,0.44,25,0.10094637223974763,0.10094637223974763,0.53125,64,0.07661829652996845,0.03830914826498422,0.1892744479495268,0.010190170068365692,0.05362776025236593,0.05362776025236593
0.1,无锡,2018-2020,2021-2022,312,0.057692307692307696,0.10256410256410256,0.14743589743589744,0.15705128205128205,0.4222222222222222,0.5777777777777777,45,1.0,0.6785714285714286,28,0.10256410256410256,0.10256410256410256,0.703125,64,0.09074074074074073,0.06157407407407407,0.15705128205128205,0.010519395134779749,0.07211538461538461,0.07211538461538461
0.1,沈阳,2018-2020,2021-2022,652,0.06134969325153374,0.10122699386503067,0.1411042944785276,0.15337423312883436,0.37777777777777777,0.6222222222222222,90,0.8888888888888888,0.5555555555555556,63,0.10122699386503067,0.10122699386503067,0.6893939393939394,132,0.0848292054836022,0.05301825342725139,0.15337423312883436,0.010246904286950957,0.06978527607361963,0.06978527607361963
0.1,石家庄,2018-2020,2021-2022,524,0.08396946564885496,0.10114503816793893,0.1183206106870229,0.13740458015267176,0.2857142857142857,0.7142857142857143,63,0.9565217391304348,0.8913043478260869,46,0.10114503816793893,0.10114503816793893,0.8113207547169812,106,0.09387890569437202,0.08747807121521028,0.13740458015267176,0.010230318745993824,0.08206106870229009,0.08206106870229009
0.1,长春,2018-2020,2021-2022,442,0.04751131221719457,0.10180995475113122,0.15610859728506787,0.18778280542986425,0.5,0.5,66,0.717948717948718,0.3333333333333333,39,0.10180995475113122,0.10180995475113122,0.5111111111111111,90,0.06740921220559229,0.03129713423831071,0.18778280542986425,0.010365266886427386,0.05203619909502262,0.05203619909502262
