所属省份,城市,city_role_quadrant,mean_gini_2018_2022,n_communities_full_window,persistent_bottom_3plus_share_full_window,ever_bottom_share_full_window,persistent_bottom_3plus_count_full_window,ever_bottom_count_full_window,share_first_2021plus,overall_conversion,early_exposure_conversion_2020,immediate_repeat_rate,any_repeat_after_first_rate,immediate_escape_share,immediate_repeat_share,deepening_given_repeat,continuous_given_repeat,fragmented_given_repeat,relapse_given_escape,mean_longest_bottom_streak,mean_retention_rate,mean_retention_excess_over_independence,mechanism_group_broad20,pred_exposure_only,pred_minimal_law,pred_timing_extension,hardening_kernel_minimal,observed_hardening,minimal_gap,timing_gap
黑龙江省,哈尔滨,high_inequality_low_persistence,0.1873791541522305,358.0,0.0055865921787709,0.1620111731843575,2.0,58.0,0.4655172413793103,0.0344827586206896,0.064516129032258,0.0476190476190476,0.2619047619047619,0.9523809523809524,0.0476190476190476,0.0,0.0,0.0,0.225,1.0689655172413792,0.3958333333333333,0.2952746741154562,HILP,0.1620111731843575,0.0,0.0,0.0,0.0344827586206896,0.0055865921787709,0.0055865921787709
河北省,唐山,high_inequality_low_persistence,0.1854561005656986,75.0,0.0,0.0533333333333333,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5625,0.4558333333333333,HILP,0.0533333333333333,0.0,0.0,0.0,0.0,0.0,0.0
内蒙古自治区,呼和浩特,low_inequality_high_persistence,0.1517941476019973,109.0,0.110091743119266,0.1559633027522936,12.0,17.0,0.0588235294117647,0.7058823529411765,0.75,0.8235294117647058,0.8823529411764706,0.1764705882352941,0.8235294117647058,0.8571428571428571,0.8571428571428571,0.0,0.3333333333333333,3.647058823529412,0.8409090909090909,0.7399916597164304,other,0.1559633027522936,0.11009174311926606,0.10361575822989746,0.7058823529411764,0.7058823529411765,-5.551115123125783e-17,0.006475984889368541
河北省,石家庄,low_inequality_high_persistence,0.1507601496645623,524.0,0.049618320610687,0.0877862595419847,26.0,46.0,0.0,0.5652173913043478,0.5652173913043478,0.6521739130434783,0.717391304347826,0.3478260869565217,0.6521739130434783,0.8666666666666667,0.8333333333333334,0.0333333333333333,0.1875,3.0217391304347827,0.8254716981132075,0.7243266599452686,other,0.0877862595419847,0.04961832061068701,0.04961832061068701,0.5652173913043479,0.5652173913043478,-6.938893903907228e-18,-6.938893903907228e-18
河北省,廊坊,low_inequality_high_persistence,0.1692405154008736,226.0,0.0486725663716814,0.1194690265486725,11.0,27.0,0.1111111111111111,0.4074074074074074,0.4583333333333333,0.3333333333333333,0.5925925925925926,0.6666666666666666,0.3333333333333333,0.7777777777777778,0.5555555555555556,0.2222222222222222,0.3888888888888889,1.8148148148148149,0.6195652173913044,0.5177953058868796,other,0.1194690265486725,0.030973451327433617,0.02753195673549655,0.2592592592592593,0.4074074074074074,0.017699115044247784,0.021140609636184853
山西省,太原,low_inequality_high_persistence,0.1330114999595569,92.0,0.0217391304347826,0.1630434782608695,2.0,15.0,0.0666666666666666,0.1333333333333333,0.1428571428571428,0.2,0.3333333333333333,0.8,0.2,0.6666666666666666,0.6666666666666666,0.0,0.1666666666666666,1.3333333333333333,0.65,0.5413043478260869,other,0.1630434782608695,0.021739130434782598,0.020289855072463756,0.1333333333333333,0.1333333333333333,3.469446951953614e-18,0.001449275362318845
吉林省,长春,low_inequality_low_persistence,0.145539889295396,442.0,0.0113122171945701,0.1334841628959276,5.0,59.0,0.3728813559322034,0.0847457627118644,0.1351351351351351,0.2666666666666666,0.4444444444444444,0.7333333333333333,0.2666666666666666,0.4166666666666667,0.4166666666666667,0.0,0.2424242424242424,1.3898305084745763,0.5,0.3981900452488688,other,0.1334841628959276,0.01483157365510307,0.009301156359979891,0.11111111111111113,0.0847457627118644,-0.003519356460532969,0.0020110608345902097
河北省,保定,low_inequality_low_persistence,0.128626488758156,30.0,0.0,0.0666666666666666,0.0,2.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,1.0,1.5,0.5,0.3999999999999999,other,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
吉林省,吉林,low_inequality_low_persistence,0.1527896161530181,150.0,0.0,0.1866666666666666,0.0,28.0,0.3571428571428571,0.0,0.0,0.1363636363636363,0.1818181818181818,0.8636363636363636,0.1363636363636363,0.0,0.0,0.0,0.0526315789473684,1.1071428571428572,0.4,0.3,other,0.1866666666666666,0.0,0.0,0.0,0.0,0.0,0.0
河北省,张家口,low_inequality_low_persistence,0.1375689883492649,27.0,0.0,0.1481481481481481,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.2222222222222222,other,0.1481481481481481,0.0,0.0,0.0,0.0,0.0,0.0
