test,cutoff_q,left_out_city,n_rows,n_cities,pathway_mae,pathway_rmse,pathway_pearson,pathway_spearman,pathway_mean_signed_error,strict_pathway_mae,strict_pathway_rmse,strict_pathway_pearson,strict_pathway_spearman,strict_pathway_mean_signed_error,exposure_only_mae,exposure_only_rmse,exposure_only_pearson,exposure_only_spearman,exposure_only_mean_signed_error,independence_mae,independence_rmse,independence_pearson,independence_spearman,independence_mean_signed_error,markov_pair_mae,markov_pair_rmse,markov_pair_pearson,markov_pair_spearman,markov_pair_mean_signed_error,pathway_minus_exposure_mae,pathway_minus_markov_mae,pathway_beats_exposure_only,markov_beats_pathway
single_split_2018_2020_to_2021_2022,0.25,沈阳,19,19,0.037395035296857594,0.043199929870453124,0.47247026368608147,0.5160158460776784,0.02947634474745113,0.040086724834453316,0.07163503817062522,0.19467131791543477,0.4931988188701621,-0.034875900032280124,0.17124205370570716,0.18762198664603963,-0.3728074690923164,-0.5291795156204764,0.17124205370570716,0.12571466772855233,0.1308296630890858,-0.1627727216080721,-0.1653455225754827,-0.12571466772855233,0.02347384467364827,0.04020061055513854,0.29421747514405483,0.5465320456540824,-0.000974438358385564,-0.13384701840884958,0.013921190623209324,True,True
single_split_2018_2020_to_2021_2022,0.25,石家庄,19,19,0.037679942358749434,0.04343536583110422,0.4704573928626428,0.5160158460776784,0.02976125180934297,0.03891444165022096,0.07142515231102016,0.19463313598192586,0.4931988188701621,-0.03370361684804777,0.16857941786259872,0.1855318488446912,-0.3677530712201946,-0.5291795156204764,0.16857941786259872,0.12586132529176916,0.13097287359011703,-0.16593034608254736,-0.1653455225754827,-0.12586132529176916,0.024432664708796792,0.04043990949012548,0.2921937590506802,0.5430201931518875,8.482362131899912e-05,-0.13089947550384928,0.013247277649952642,True,True
single_split_2018_2020_to_2021_2022,0.25,长春,19,19,0.0370674084508692,0.042883161191908284,0.4629666300972504,0.5089952223215196,0.02914871790146274,0.03933850311642912,0.0715432920818845,0.1932188046456764,0.4931988188701621,-0.034127678314255935,0.16761681135323353,0.18459088537358742,-0.37298320350951925,-0.5326898274985559,0.16761681135323353,0.1270232923313793,0.13199264539079156,-0.18310061444333153,-0.11205045391807146,-0.1270232923313793,0.02353027791732154,0.04022676261974008,0.2905167661662677,0.525460930640913,-0.0009180051147122961,-0.13054940290236433,0.013537130533547659,True,True
single_split_2018_2020_to_2021_2022,0.3,__FULL_SAMPLE__,20,20,0.0346808872303385,0.03935912863054138,0.7039910820403131,0.7037593984962407,0.031800228794124516,0.04420872729779428,0.06704637520895854,0.3955094395075641,0.4781954887218045,-0.03758843744272182,0.1773941093290251,0.1922626631125696,-0.6078468964164281,-0.6481203007518795,0.1773941093290251,0.14309922951290496,0.14672943554115297,-0.026112369062691803,-0.03762228303563567,-0.14309922951290496,0.01975633982881198,0.030422326487794235,0.5584525312688036,0.6360902255639098,-0.0004334244838048396,-0.14271322209868662,0.01492454740152652,True,True
single_split_2018_2020_to_2021_2022,0.3,上海,19,19,0.035740532287728805,0.04024346076943943,0.6689995091897999,0.6561403508771929,0.032708260249608816,0.04637170761104943,0.06878442426138023,0.3290545216568021,0.3929824561403509,-0.03940298144781527,0.18393279014873398,0.19687997075275152,-0.5565485631205059,-0.5894736842105263,0.18393279014873398,0.14067873184965685,0.14415562026872059,0.0013264090281089166,-0.007023707711394892,-0.14067873184965685,0.02067623927749857,0.031208271975427082,0.5038959821800698,0.5771929824561403,-0.0005761442094665033,-0.14819225786100518,0.015064293010230236,True,True
single_split_2018_2020_to_2021_2022,0.3,丹东,19,19,0.03403051894948849,0.038913032282270665,0.6309846957458686,0.6561403508771929,0.0309982469113685,0.04354684593133893,0.06754330079747389,0.3136181825618134,0.41754385964912283,-0.03657811976810476,0.17288022588650845,0.18779139532168213,-0.6148482328636484,-0.6438596491228071,0.17288022588650845,0.14607876000305464,0.1492278979419837,-0.1616365393750463,-0.16154527736208252,-0.14607876000305464,0.019872786154058776,0.03095206137783736,0.5048318721392013,0.6000000000000001,-0.0013795973329062945,-0.13884970693701995,0.014157732795429714,True,True
single_split_2018_2020_to_2021_2022,0.3,保定,19,19,0.033348302347724734,0.037963153972399445,0.7107691530807354,0.6894736842105263,0.03031603030960475,0.04337760768188871,0.06739683288404932,0.4824042490730833,0.6052631578947367,-0.04272467099233875,0.17444993964458788,0.1898550954500084,-0.6039175951501285,-0.6456140350877193,0.17444993964458788,0.14484129422411052,0.14841097722992896,-0.05108144315813201,-0.1360245852755785,-0.14484129422411052,0.019041761223310857,0.03026135964827947,0.5752346435573601,0.6438596491228071,-0.0022106222636542154,-0.14110163729686315,0.014306541124413878,True,True
single_split_2018_2020_to_2021_2022,0.3,北京,19,19,0.03595924123968566,0.04031117327136349,0.6726388237676677,0.6561403508771929,0.032926969201565674,0.04604629494924708,0.06875506971849583,0.3320761895205129,0.3929824561403509,-0.03907756878601291,0.18411452134284617,0.19692744030617418,-0.5532858354317189,-0.5894736842105263,0.18411452134284617,0.1406117416881092,0.14406742666536768,0.0049142172433315826,-0.007023707711394892,-0.1406117416881092,0.020772364278621974,0.03121247623975494,0.5029160837061895,0.5771929824561403,-0.0004800192083430983,-0.1481552801031605,0.015186876961063689,True,True
single_split_2018_2020_to_2021_2022,0.3,南京,19,19,0.0344252821749771,0.03934972443848278,0.7058285121509335,0.7140350877192982,0.03139301013685711,0.04648868145445466,0.06878782679486087,0.388046878903417,0.48245614035087714,-0.03951995529122049,0.18080032264434073,0.1955562563925166,-0.6078271589611727,-0.6561403508771929,0.18080032264434073,0.14244163523022343,0.14624802317035066,-0.016373835411854713,-0.0386303924126719,-0.14244163523022343,0.019790110970919313,0.03090306378639903,0.5556506525112521,0.6385964912280702,-0.001462272516045757,-0.14637504046936364,0.014635171204057783,True,True
single_split_2018_2020_to_2021_2022,0.3,吉林,19,19,0.03465112462079872,0.03956374806147479,0.7007228777924133,0.712280701754386,0.031618852582678734,0.04258126900911983,0.06659371961164962,0.38577803908980657,0.47543859649122805,-0.03561254284588566,0.17444993964458788,0.18985509545000837,-0.6033196321697788,-0.6666666666666666,0.17444993964458788,0.14378866264516313,0.14755740097804354,-0.03589066458520981,-0.0816147511653471,-0.14378866264516313,0.02026983139874945,0.031128222917981084,0.5526149872601608,0.6456140350877193,7.00794907317483e-05,-0.13979881502378916,0.014381293222049275,True,True
