城市,community_id,first_exposure_year,available_years_after_first,bottom_years_total,longest_bottom_streak,persistent_bottom_3plus,immediate_repeat_after_first,any_repeat_after_first,reentry_after_gap,eligible_one_step,path_one_shot,path_short_repeat_nonpersistent,path_continuous_persistent,path_fragmented_persistent
北京,北京||门头沟||门头沟其它||惠泽家园,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||门头沟||门头沟其它||惠通新苑,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||门头沟||门头沟其它||滨河楼小区,2018,4,4,2,True,True,True,True,True,False,False,False,True
北京,北京||门头沟||门头沟其它||潭墅苑,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||门头沟||门头沟其它||门矿西山楼,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||顺义||中央别墅区||会展誉景,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||顺义||中央别墅区||米兰花园,2019,3,1,1,False,False,False,False,True,True,False,False,False
北京,北京||顺义||中央别墅区||誉天下,2022,0,1,1,False,,,,False,True,False,False,False
北京,北京||顺义||后沙峪||东亚创展国际,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||顺义||后沙峪||北京方糖,2019,3,4,4,True,True,True,False,True,False,False,True,False
北京,北京||顺义||后沙峪||双裕花园东区,2020,2,1,1,False,False,False,False,True,True,False,False,False
北京,北京||顺义||后沙峪||清岚花园汉民区,2018,4,2,1,False,False,True,True,True,False,True,False,False
北京,北京||顺义||后沙峪||金地中央世家,2018,4,4,2,True,True,True,True,True,False,False,False,True
北京,北京||顺义||李桥||樱花园一区,2018,4,3,3,True,True,True,False,True,False,False,True,False
北京,北京||顺义||李桥||馨港庄园三区,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||顺义||李桥||馨港庄园二区,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||顺义||顺义其它||下坡屯家园一区,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||顺义||顺义其它||东亚首航国际,2018,4,5,5,True,True,True,False,True,False,False,True,False
北京,北京||顺义||顺义其它||东方太阳城,2018,4,1,1,False,False,False,False,True,True,False,False,False
北京,北京||顺义||顺义其它||中国铁建顺鑫汇,2018,4,5,5,True,True,True,False,True,False,False,True,False
