cutoff_q,horizon_years,target_mode,predictor,predictor_label,n,pearson,spearman,mae,rmse,bias,calibration_slope,calibration_intercept,mae_ci_low,mae_ci_high,mae_reduction_vs_exposure_only,relative_mae_reduction_vs_exposure_only,mae_minus_markov_stationary
0.1,1,majority_holdout_years,exposure_only,Exposure only,79,0.4304676168883758,0.5993522682736518,0.06045894908782102,0.06778940365002871,0.06045894908782102,0.05381484483537224,0.09320113592869823,0.050996615242157116,0.0730019135113783,0.0,0.0,0.06045894908782102
0.1,2,majority_holdout_years,markov_stationary,Markov stationary,58,0.5841966122455726,0.587507882623285,0.01231799903446607,0.018341131084496313,-0.004836039036240378,0.8931139031542561,0.012002535376711313,0.009432146622795125,0.016097349829731083,0.08116907162467017,0.8682384746081221,0.0
0.1,2,majority_holdout_years,markov_last_state,Markov last-state,58,0.5841966122455726,0.587507882623285,0.01231799903446607,0.018341131084496313,-0.004836039036240379,0.8931139031542561,0.012002535376711313,0.009603925989752512,0.016360782692000284,0.08116907162467017,0.8682384746081221,0.0
0.1,2,majority_holdout_years,pathway_active,Pathway,58,0.5536486194770597,0.5480020917284445,0.014631627521206926,0.020784751888561156,0.010214665436156935,1.0668193884477395,-0.015700448985436963,0.011338435435517548,0.020348336652907164,0.0788554431379293,0.8434903626988657,0.002313628486740856
0.1,2,majority_holdout_years,pathway_strict,Strict pathway,58,0.32390736856239566,0.39721307945492024,0.022815860672135427,0.03117462354015323,-0.01872203988175559,0.33266295742021607,0.05419899443745632,0.01803655022947199,0.02786458381542245,0.07067120998700081,0.7559463516048709,0.010497861637669357
0.1,2,majority_holdout_years,independence,Independence,58,0.24230193591567664,-0.15963814547697155,0.06160048601623079,0.06490903216973652,-0.06125565843002389,4.58811701822521,0.02311987509533156,0.05356275572912581,0.06706045337222703,0.03188658464290545,0.3410801559840003,0.04928248698176472
0.1,2,majority_holdout_years,exposure_only,Exposure only,58,-0.46148018510462646,-0.5227248258766155,0.09348707065913624,0.10529622143251693,0.09348707065913624,-0.2910800097127023,0.12002023087060285,0.0771113410228601,0.11381586470702451,0.0,0.0,0.08116907162467017
0.1,3,majority_holdout_years,markov_stationary,Markov stationary,38,0.36041372943555733,0.20048150700040052,0.008638491417091892,0.011938609647843386,-0.00646813618827762,0.44691749892915245,0.05684881074162492,0.005909417429814177,0.01208352002071012,0.05477245745563806,0.86376971846881,0.0
0.1,3,majority_holdout_years,markov_last_state,Markov last-state,38,0.36041372943555733,0.20048150700040052,0.008638491417091892,0.011938609647843386,-0.00646813618827762,0.4469174989291527,0.05684881074162493,0.0056544750935151895,0.012627139677440561,0.05477245745563806,0.86376971846881,0.0
0.1,3,majority_holdout_years,pathway_active,Pathway,38,0.12464105737777123,-0.009848982330805701,0.015508487202438715,0.019198996209407515,-0.014686416455501826,0.13489446415666642,0.08637980924687604,0.011767868195429325,0.019914169205180885,0.04790246167029124,0.7554288734337458,0.0068699957853468226
