cutoff_q,origin_year,train_years,holdout_years,城市,n_units,p_holdout_repeat,p_holdout_mean,p_holdout_ever,X_train,lambda_train,non_escape_train,lambda_denominator,delta_active_train,delta_all_train,delta_denominator,train_bottom_share_mean,train_bottom_share_last,p11_train,p11_denominator,pred_pathway_active,pred_pathway_all3,pred_exposure_only,pred_independence,pred_markov_pair,pred_last_state_markov
0.1,2016,2016-2018,2019-2020,上海,838,0.09069212410501193,0.10023866348448687,0.10978520286396182,0.1575178997613365,0.43089430894308944,0.5691056910569106,123,0.9868421052631579,0.5789473684210527,76,0.10023866348448687,0.10023866348448687,0.6785714285714286,168,0.08846480249754136,0.051899350798557606,0.1575178997613365,0.010047789657156202,0.06801909307875895,0.06801909307875895
0.1,2016,2016-2018,2019-2020,北京,4914,0.08791208791208792,0.10012210012210013,0.11233211233211234,0.1288156288156288,0.2558139534883721,0.7441860465116279,602,0.944672131147541,0.7274590163934426,488,0.10012210012210013,0.10012210012210013,0.8160569105691057,984,0.0905589094685549,0.069736253495308,0.1288156288156288,0.010024434932859842,0.0817053317053317,0.0817053317053317
0.1,2016,2016-2018,2019-2020,南京,1278,0.08763693270735524,0.10015649452269171,0.11267605633802817,0.1643192488262911,0.4497354497354497,0.5502645502645502,189,0.9304347826086956,0.5130434782608696,115,0.10015649452269171,0.10015649452269171,0.63671875,256,0.0841290361600629,0.046388907789193565,0.1643192488262911,0.010031323395073974,0.06377151799687011,0.06377151799687011
0.1,2016,2016-2018,2019-2020,大连,1320,0.08863636363636364,0.1,0.11136363636363636,0.1318181818181818,0.21656050955414013,0.7834394904458599,157,0.8455882352941176,0.6323529411764706,136,0.1,0.1,0.7916666666666666,264,0.08732522395176946,0.06530408052045368,0.1318181818181818,0.010000000000000002,0.07916666666666666,0.07916666666666666
0.1,2016,2016-2018,2019-2020,天津,1943,0.08183221821924859,0.10036026762738035,0.1188883170355121,0.1451363870303654,0.34765625,0.65234375,256,0.8894736842105263,0.5947368421052631,190,0.10036026762738035,0.10036026762738035,0.717948717948718,390,0.08421431437413658,0.05630897943359428,0.1451363870303654,0.010072183318239407,0.07205352547606794,0.07205352547606794
0.1,2016,2016-2018,2019-2020,廊坊,71,0.07042253521126761,0.11267605633802817,0.15492957746478872,0.18309859154929578,0.6153846153846154,0.3846153846153846,13,1.0,0.375,8,0.11267605633802817,0.11267605633802817,0.5,16,0.0704225352112676,0.026408450704225348,0.18309859154929578,0.012695893671890498,0.056338028169014086,0.056338028169014086
0.1,2016,2016-2018,2019-2020,沈阳,145,0.08275862068965517,0.10344827586206896,0.12413793103448276,0.1793103448275862,0.45454545454545453,0.5454545454545454,22,0.9166666666666666,0.5833333333333334,12,0.10344827586206896,0.10344827586206896,0.6333333333333333,30,0.08965517241379309,0.057053291536050155,0.1793103448275862,0.01070154577883472,0.06551724137931034,0.06551724137931034
0.1,2017,2017-2019,2020-2021,上海,2945,0.08930390492359933,0.100169779286927,0.11103565365025467,0.12427843803056027,0.187683284457478,0.8123167155425219,341,0.9278350515463918,0.7835051546391752,291,0.100169779286927,0.100169779286927,0.8559322033898306,590,0.09366815189109857,0.07909755048581657,0.12427843803056027,0.010033984682391668,0.08573853989813243,0.08573853989813243
0.1,2017,2017-2019,2020-2021,北京,4522,0.08690844758956214,0.10017691287041132,0.1134453781512605,0.12361786819991154,0.1786407766990291,0.8213592233009709,515,0.9253393665158371,0.8099547511312217,442,0.10017691287041132,0.10017691287041132,0.8620309050772627,906,0.09395403296429336,0.08223849340150861,0.12361786819991154,0.01003541387224598,0.08635559486952675,0.08635559486952675
0.1,2017,2017-2019,2020-2021,南京,1327,0.08063300678221552,0.10022607385079126,0.11981914091936699,0.14318010550113036,0.2874251497005988,0.7125748502994012,167,0.8943089430894309,0.6991869918699187,123,0.10022607385079126,0.10022607385079126,0.7706766917293233,266,0.09124324916069307,0.0713356311619964,0.14318010550113036,0.010045265879544263,0.07724189902034664,0.07724189902034664
0.1,2017,2017-2019,2020-2021,大连,1420,0.08028169014084507,0.1,0.11971830985915492,0.13028169014084506,0.2471264367816092,0.7528735632183908,174,0.9097222222222222,0.6736111111111112,144,0.1,0.1,0.8028169014084507,284,0.08923068664220316,0.06607157713201303,0.13028169014084506,0.010000000000000002,0.08028169014084507,0.08028169014084507
0.1,2017,2017-2019,2020-2021,天津,2077,0.08136735676456427,0.10014443909484834,0.1189215214251324,0.13818006740491093,0.29844961240310075,0.7015503875968992,258,0.9226804123711341,0.7371134020618557,194,0.10014443909484834,0.10014443909484834,0.7788461538461539,416,0.08944489738375509,0.07145597947417306,0.13818006740491093,0.010028908681621788,0.07799711121810303,0.07799711121810303
0.1,2017,2017-2019,2020-2021,廊坊,83,0.07228915662650602,0.10843373493975904,0.14457831325301204,0.1927710843373494,0.5714285714285714,0.4285714285714286,14,1.0,0.5714285714285714,7,0.10843373493975904,0.10843373493975904,0.5555555555555556,18,0.08261617900172118,0.04720924514384067,0.1927710843373494,0.01175787487298592,0.06024096385542169,0.06024096385542169
0.1,2017,2017-2019,2020-2021,无锡,52,0.09615384615384616,0.11538461538461539,0.1346153846153846,0.21153846153846154,0.4444444444444444,0.5555555555555556,9,0.6666666666666666,0.16666666666666666,6,0.11538461538461539,0.11538461538461539,0.5,12,0.07834757834757834,0.019586894586894586,0.21153846153846154,0.013313609467455623,0.057692307692307696,0.057692307692307696
0.1,2017,2017-2019,2020-2021,沈阳,333,0.06606606606606606,0.1021021021021021,0.13813813813813813,0.16216216216216217,0.375,0.625,48,0.875,0.5,32,0.1021021021021021,0.1021021021021021,0.6764705882352942,68,0.08868243243243244,0.05067567567567568,0.16216216216216217,0.010424839253668083,0.06906906906906908,0.06906906906906908
0.1,2017,2017-2019,2020-2021,石家庄,151,0.07947019867549669,0.10596026490066225,0.13245033112582782,0.18543046357615894,0.45454545454545453,0.5454545454545454,22,0.7692307692307693,0.5384615384615384,13,0.10596026490066225,0.10596026490066225,0.59375,32,0.07780299171027648,0.05446209419719353,0.18543046357615894,0.011227577737818517,0.06291390728476821,0.06291390728476821
0.1,2018,2018-2020,2021-2022,上海,3292,0.0911300121506683,0.10024301336573511,0.10935601458080195,0.11786148238153099,0.14594594594594595,0.854054054054054,370,0.9541284403669725,0.8409785932721713,327,0.10024301336573511,0.10024301336573511,0.8954545454545455,660,0.09604264212711715,0.08465296982358082,0.11786148238153099,0.010048661728642948,0.08976306196840826,0.08976306196840826
0.1,2018,2018-2020,2021-2022,丹东,57,0.017543859649122806,0.10526315789473684,0.19298245614035087,0.24561403508771928,0.7,0.30000000000000004,10,0.6666666666666666,0.3333333333333333,3,0.10526315789473684,0.10526315789473684,0.3333333333333333,12,0.04912280701754386,0.02456140350877193,0.24561403508771928,0.011080332409972297,0.03508771929824561,0.03508771929824561
0.1,2018,2018-2020,2021-2022,保定,30,0.0,0.1,0.2,0.16666666666666666,0.5,0.5,4,1.0,1.0,2,0.1,0.1,0.6666666666666666,6,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.010000000000000002,0.06666666666666667,0.06666666666666667
0.1,2018,2018-2020,2021-2022,北京,4426,0.08653411658382286,0.10009037505648441,0.11364663352914596,0.12178038861274289,0.18503937007874016,0.8149606299212598,508,0.9471264367816092,0.8160919540229885,435,0.10009037505648441,0.10009037505648441,0.8679458239277652,886,0.0939987208113781,0.08099404341757092,0.12178038861274289,0.010018083178947717,0.0868730230456394,0.0868730230456394
0.1,2018,2018-2020,2021-2022,南京,497,0.08249496981891348,0.1006036217303823,0.11871227364185111,0.13279678068410464,0.22807017543859648,0.7719298245614035,57,0.8913043478260869,0.8260869565217391,46,0.1006036217303823,0.1006036217303823,0.82,100,0.09136742652712614,0.08468200507392179,0.13279678068410464,0.01012108870526985,0.08249496981891348,0.08249496981891348
0.1,2018,2018-2020,2021-2022,吉林,150,0.04,0.1,0.16,0.21333333333333335,0.6086956521739131,0.3913043478260869,23,0.6,0.3,10,0.1,0.1,0.4,30,0.050086956521739126,0.025043478260869563,0.21333333333333335,0.010000000000000002,0.04000000000000001,0.04000000000000001
0.1,2018,2018-2020,2021-2022,呼和浩特,109,0.08256880733944955,0.10091743119266056,0.11926605504587157,0.11926605504587157,0.23076923076923078,0.7692307692307692,13,1.0,0.8181818181818182,11,0.10091743119266056,0.10091743119266056,0.8636363636363636,22,0.09174311926605504,0.0750625521267723,0.11926605504587157,0.010184327918525377,0.0871559633027523,0.0871559633027523
0.1,2018,2018-2020,2021-2022,哈尔滨,358,0.030726256983240222,0.1005586592178771,0.17039106145251395,0.20670391061452514,0.6440677966101694,0.35593220338983056,59,0.875,0.4166666666666667,24,0.1005586592178771,0.1005586592178771,0.4305555555555556,72,0.0643760060600322,0.030655240980967717,0.20670391061452514,0.010112043943697139,0.04329608938547486,0.04329608938547486
0.1,2018,2018-2020,2021-2022,唐山,75,0.05333333333333334,0.10666666666666667,0.16,0.21333333333333335,0.5,0.5,12,0.6666666666666666,0.3333333333333333,6,0.10666666666666667,0.10666666666666667,0.5,16,0.07111111111111111,0.035555555555555556,0.21333333333333335,0.01137777777777778,0.05333333333333334,0.05333333333333334
0.1,2018,2018-2020,2021-2022,大连,1318,0.07738998482549317,0.10015174506828528,0.12291350531107739,0.1267071320182094,0.19480519480519481,0.8051948051948052,154,0.9153846153846154,0.7615384615384615,130,0.10015174506828528,0.10015174506828528,0.8446969696969697,264,0.09339113087216273,0.07769514249028665,0.1267071320182094,0.010030372040222805,0.08459787556904401,0.08459787556904401
0.1,2018,2018-2020,2021-2022,天津,2635,0.08311195445920304,0.10018975332068311,0.11726755218216318,0.12144212523719165,0.174496644295302,0.825503355704698,298,0.9453125,0.84375,256,0.10018975332068311,0.10018975332068311,0.875,528,0.09476841180291125,0.08458668160921004,0.12144212523719165,0.010037986670459333,0.08766603415559772,0.08766603415559772
0.1,2018,2018-2020,2021-2022,太原,92,0.08695652173913043,0.10869565217391304,0.13043478260869565,0.20652173913043478,0.5294117647058824,0.47058823529411764,17,1.0,0.375,8,0.10869565217391304,0.10869565217391304,0.55,20,0.09718670076726342,0.03644501278772378,0.20652173913043478,0.011814744801512287,0.059782608695652176,0.059782608695652176
0.1,2018,2018-2020,2021-2022,常州,69,0.057971014492753624,0.10144927536231885,0.14492753623188406,0.18840579710144928,0.5,0.5,10,0.6666666666666666,0.3333333333333333,6,0.10144927536231885,0.10144927536231885,0.5,14,0.06280193236714976,0.03140096618357488,0.18840579710144928,0.010291955471539594,0.050724637681159424,0.050724637681159424
0.1,2018,2018-2020,2021-2022,廊坊,226,0.06637168141592921,0.10176991150442478,0.13716814159292035,0.15486725663716813,0.3333333333333333,0.6666666666666667,30,0.75,0.4166666666666667,24,0.10176991150442478,0.10176991150442478,0.6521739130434783,46,0.07743362831858407,0.04301868239921337,0.15486725663716813,0.010357114887618452,0.06637168141592921,0.06637168141592921
0.1,2018,2018-2020,2021-2022,张家口,27,0.037037037037037035,0.1111111111111111,0.18518518518518517,0.25925925925925924,0.6666666666666666,0.33333333333333337,6,1.0,0.0,2,0.1111111111111111,0.1111111111111111,0.3333333333333333,6,0.08641975308641976,0.0,0.25925925925925924,0.012345679012345678,0.037037037037037035,0.037037037037037035
