test,cutoff_q,component,source_column,n_rows,n_cities,mean_unweighted,median,p25,p75,weighted_mean_by_units,bootstrap_mean_ci_low,bootstrap_mean_ci_high,bootstrap_resampling
single_split_2018_2020_to_2021_2022,0.25,non_escape,non_escape_train_2018_2020,20,20,0.7251191774965825,0.6993150684931506,0.6472222222222223,0.8483695652173913,0.8407692776935791,0.6716708873534486,0.7760265276486815,city_rows
single_split_2018_2020_to_2021_2022,0.25,delta_active,delta_active_train_2018_2020,20,20,0.8694195865723507,0.880589430894309,0.8204545454545454,0.9526496378192909,0.9393942191885549,0.8285215611484217,0.9057435078121456,city_rows
single_split_2018_2020_to_2021_2022,0.25,delta_strict,delta_all3_train_2018_2020,20,20,0.6150921085727392,0.6244019138755981,0.4822916666666667,0.8209331651954603,0.8202420187769641,0.5120721372988479,0.7095332308571958,city_rows
single_split_2018_2020_to_2021_2022,0.25,markov_p11,p11_train_2018_2020,20,20,0.7513658907518438,0.7455194158645868,0.6644736842105263,0.8569111358988659,0.8763506621435532,0.6938870250980681,0.8077390824883517,city_rows
single_split_2018_2020_to_2021_2022,0.3,X,X_train_2018_2020,20,20,0.4110560383194931,0.4118218022467419,0.3728844130817282,0.4357360793287566,0.35782931829830855,0.3895241316472518,0.4336803029311244,city_rows
single_split_2018_2020_to_2021_2022,0.3,lambda,lambda_train_2018_2020,20,20,0.26009385124114304,0.25362068965517237,0.1913870246085011,0.31314516129032255,0.1525384893434135,0.2159475972724048,0.30871535969591907,city_rows
single_split_2018_2020_to_2021_2022,0.3,non_escape,non_escape_train_2018_2020,20,20,0.739906148758857,0.7463793103448276,0.6868548387096773,0.8086129753914989,0.8474615106565865,0.6947039114803175,0.7833893730590118,city_rows
single_split_2018_2020_to_2021_2022,0.3,delta_active,delta_active_train_2018_2020,20,20,0.8884056096907555,0.8989813242784379,0.8383333333333334,0.9397193585337915,0.9429796610964489,0.8614713152031322,0.9140136743780467,city_rows
single_split_2018_2020_to_2021_2022,0.3,delta_strict,delta_all3_train_2018_2020,20,20,0.6494781643166755,0.6557017543859649,0.5564130434782608,0.7765568403455001,0.8285135656506427,0.5599174642414889,0.7279474453805186,city_rows
single_split_2018_2020_to_2021_2022,0.3,markov_p11,p11_train_2018_2020,20,20,0.774885854303421,0.782563025210084,0.7372425629290618,0.8481886043007807,0.8825105080183107,0.7260850705186316,0.8199824398847105,city_rows
rolling_origin_2010_2022,0.1,X,X_train,58,20,0.16537108461407418,0.15728459090630925,0.13548166919027477,0.1887098408837539,0.13771375751039897,0.1540111778566753,0.18101279357826597,city_cluster
rolling_origin_2010_2022,0.1,lambda,lambda_train,58,20,0.3959438486758652,0.3833333333333333,0.2541375374518476,0.5,0.27389635567667736,0.3430670000574118,0.4585409359114878,city_cluster
rolling_origin_2010_2022,0.1,non_escape,non_escape_train,58,20,0.6040561513241348,0.6166666666666667,0.5,0.7458624625481525,0.7261036443233226,0.5398809863223929,0.6557099131962839,city_cluster
rolling_origin_2010_2022,0.1,delta_active,delta_active_train,58,20,0.8699498573029514,0.9084928229665072,0.7992481203007519,0.946672952586207,0.9048509878787712,0.8328044206705806,0.8968754674001972,city_cluster
rolling_origin_2010_2022,0.1,delta_strict,delta_all_train,58,20,0.5590210395027825,0.5811403508771931,0.38125,0.7330500989259469,0.7004858253375286,0.47542483740589414,0.6228815629069282,city_cluster
rolling_origin_2010_2022,0.1,markov_p11,p11_train,58,20,0.6547376133896731,0.6715686274509804,0.5112403100775194,0.790361909650924,0.7798571141910381,0.5883049142224943,0.7079129296729889,city_cluster
rolling_origin_2010_2022,0.2,X,X_train,58,20,0.2911656083257383,0.29152869757174393,0.2508780391339496,0.3237346263008514,0.2522569711908797,0.27427603530264466,0.31258381681192443,city_cluster
rolling_origin_2010_2022,0.2,lambda,lambda_train,58,20,0.31780014160893705,0.31702456864216055,0.18659380492091385,0.4151969981238274,0.20379402020906492,0.2640162121920616,0.3773697957133474,city_cluster
rolling_origin_2010_2022,0.2,non_escape,non_escape_train,58,20,0.682199858391063,0.6829754313578394,0.5848030018761725,0.8134061950790861,0.796205979790935,0.6248593326607155,0.7340730585940234,city_cluster
rolling_origin_2010_2022,0.2,delta_active,delta_active_train,58,20,0.9033617519431844,0.9363072519083969,0.8501552795031055,0.956734541745135,0.9341202459406932,0.8736672288662468,0.9259343214851221,city_cluster
rolling_origin_2010_2022,0.2,delta_strict,delta_all_train,58,20,0.6420892398756272,0.6534263189812007,0.5391414141414141,0.7903987497384389,0.7844300667322508,0.5523319340828272,0.7091032481199904,city_cluster
rolling_origin_2010_2022,0.2,markov_p11,p11_train,58,20,0.7383769058454208,0.7376470588235294,0.6453293010752688,0.8534053552194596,0.843932839553332,0.6773712375808987,0.7889983189780471,city_cluster
