country,frame_type,frame_id,frame_name,window_start,window_end,cohort_type,lower_tail_q,persistent_min_count,min_transactions_per_unit_year,min_units_per_frame_year,n_units,n_exposed,n_repeat_exposed,n_persistent,escape_denominator,escape_numerator,X_exposure,lambda_immediate_escape,delta_repeat_deepening,P_observed,P_predicted_pathway,P_predicted_exposure_only,absolute_error_pathway,absolute_error_exposure_only,hardening_kernel
UK,bua,E63012107,,2018,2022,available,0.2,3,3,10,13,4,2,2,3,1,0.3076923076923077,0.3333333333333333,1.0,0.15384615384615385,0.20512820512820515,0.3076923076923077,0.051282051282051294,0.15384615384615385,0.6666666666666667
UK,bua,E63012110,,2018,2022,available,0.2,3,3,10,15,5,3,3,3,3,0.3333333333333333,1.0,1.0,0.2,0.0,0.3333333333333333,0.2,0.1333333333333333,0.0
UK,bua,E63012129,,2018,2022,available,0.2,3,3,10,12,4,2,2,3,1,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,0.22222222222222224,0.3333333333333333,0.05555555555555558,0.16666666666666666,0.6666666666666667
UK,bua,E63012131,,2018,2022,available,0.2,3,3,10,13,5,3,2,5,3,0.38461538461538464,0.6,0.6666666666666666,0.15384615384615385,0.10256410256410256,0.38461538461538464,0.051282051282051294,0.23076923076923078,0.26666666666666666
UK,bua,E63012138,,2018,2022,available,0.2,3,3,10,13,5,2,2,5,4,0.38461538461538464,0.8,1.0,0.15384615384615385,0.07692307692307691,0.38461538461538464,0.07692307692307694,0.23076923076923078,0.19999999999999996
UK,bua,E63012161,,2018,2022,available,0.2,3,3,10,14,3,3,3,3,1,0.21428571428571427,0.3333333333333333,1.0,0.21428571428571427,0.14285714285714288,0.21428571428571427,0.0714285714285714,0.0,0.6666666666666667
UK,bua,E63012168,,2018,2022,available,0.2,3,3,10,15,5,3,3,4,1,0.3333333333333333,0.25,1.0,0.2,0.25,0.3333333333333333,0.04999999999999999,0.1333333333333333,0.75
UK,bua,E63012191,,2018,2022,available,0.2,3,3,10,14,4,2,2,3,1,0.2857142857142857,0.3333333333333333,1.0,0.14285714285714285,0.1904761904761905,0.2857142857142857,0.047619047619047644,0.14285714285714285,0.6666666666666667
UK,bua,E63012282,,2018,2022,available,0.2,3,3,10,13,4,2,1,4,2,0.3076923076923077,0.5,0.5,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.0,0.23076923076923078,0.25
UK,bua,E63012338,,2018,2022,available,0.2,3,3,10,11,3,3,3,3,1,0.2727272727272727,0.3333333333333333,1.0,0.2727272727272727,0.18181818181818182,0.2727272727272727,0.09090909090909088,0.0,0.6666666666666667
UK,bua,E63012369,,2018,2022,available,0.2,3,3,10,13,4,2,2,4,2,0.3076923076923077,0.5,1.0,0.15384615384615385,0.15384615384615385,0.3076923076923077,0.0,0.15384615384615385,0.5
UK,bua,E63013847,,2018,2022,available,0.2,3,3,10,11,2,2,2,2,1,0.18181818181818182,0.5,1.0,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.0,0.5
UK,bua,E63007169,,2018,2022,balanced,0.2,3,3,10,11,4,3,2,4,1,0.36363636363636365,0.25,0.6666666666666666,0.18181818181818182,0.1818181818181818,0.36363636363636365,2.7755575615628914e-17,0.18181818181818182,0.5
UK,bua,E63007883,,2018,2022,balanced,0.2,3,3,10,19,6,3,3,5,2,0.3157894736842105,0.4,1.0,0.15789473684210525,0.1894736842105263,0.3157894736842105,0.03157894736842104,0.15789473684210525,0.6
