department,balanced_communes,ever_full_share,exposure_share_observable,lambda_immediate_escape,non_escape_share,delta_deepen_given_immediate_repeat,persistent_share_3plus,minimal_law_prediction,exposure_only_prediction,persistent_count,observable_exposed_count,immediate_repeat_count,persistent_among_immediate_repeat_count,median_commune_price_per_m2,total_transactions,minimal_abs_error,exposure_only_abs_error,minimal_beats_exposure_only
33,380,0.4236842105263158,0.39210526315789473,0.563758389261745,0.436241610738255,0.7538461538461538,0.17894736842105263,0.12894736842105264,0.39210526315789473,68,149,65,49,2253.2272300469485,158872,0.04999999999999999,0.2131578947368421,True
34,269,0.34944237918215615,0.3271375464684015,0.4772727272727273,0.5227272727272727,0.8913043478260869,0.1970260223048327,0.1524163568773234,0.3271375464684015,53,88,46,41,2584.2696629213483,138532,0.0446096654275093,0.13011152416356878,True
35,306,0.37254901960784315,0.3464052287581699,0.5188679245283019,0.4811320754716981,0.8235294117647058,0.1830065359477124,0.1372549019607843,0.3464052287581699,56,106,51,42,2031.818181818182,94679,0.04575163398692811,0.16339869281045752,True
36,168,0.5238095238095238,0.4642857142857143,0.6923076923076923,0.3076923076923077,0.5833333333333334,0.1130952380952381,0.08333333333333336,0.4642857142857143,19,78,24,14,998.5172872340427,22504,0.02976190476190474,0.3511904761904762,True
37,243,0.39094650205761317,0.3662551440329218,0.449438202247191,0.550561797752809,0.7142857142857143,0.18930041152263374,0.1440329218106996,0.3662551440329218,46,89,49,35,1796.875,57682,0.045267489711934145,0.17695473251028807,True
38,396,0.4595959595959596,0.4292929292929293,0.5764705882352941,0.4235294117647059,0.6805555555555556,0.15151515151515152,0.12373737373737374,0.4292929292929293,60,170,72,49,2650.883605072464,110693,0.027777777777777776,0.2777777777777778,True
39,183,0.48633879781420764,0.44808743169398907,0.6341463414634146,0.36585365853658536,0.6666666666666666,0.1366120218579235,0.10928961748633878,0.44808743169398907,25,82,30,20,1747.3684210526317,30376,0.02732240437158473,0.3114754098360656,True
40,217,0.423963133640553,0.4055299539170507,0.5795454545454546,0.42045454545454547,0.7837837837837838,0.17050691244239632,0.1336405529953917,0.4055299539170507,37,88,37,29,2173.1918238993712,45126,0.036866359447004615,0.2350230414746544,True
41,206,0.441747572815534,0.4077669902912621,0.5357142857142857,0.4642857142857143,0.7692307692307693,0.1650485436893204,0.14563106796116507,0.4077669902912621,34,84,39,30,1505.4045567818675,34381,0.01941747572815533,0.24271844660194172,True
42,255,0.403921568627451,0.3764705882352941,0.5104166666666667,0.4895833333333333,0.7446808510638298,0.17647058823529413,0.1372549019607843,0.3764705882352941,45,96,47,35,1948.051948051948,77284,0.03921568627450983,0.19999999999999998,True
